,country,alcconsumption,incomeperperson,suicideper100th,employrate,urbanrate
0,Afghanistan,0.03,,6.684385300000001,55.70000076,24.04
1,Albania,7.29,1914.9965510000002,7.699329852999999,51.40000153,46.72
2,Algeria,0.69,2231.993335,4.848769665,50.5,65.22
3,Andorra,10.17,21943.3399,5.362178802,,88.92
4,Angola,5.57,1381.004268,14.55467701,75.69999695,56.7
5,Antigua and Barbuda,8.17,11894.46407,2.1618432999999997,,30.46
6,Argentina,9.35,10749.419240000001,7.765584,58.40000153,92.0
7,Armenia,13.66,1326.741757,3.7415878769999997,40.09999847,63.86
9,Australia,10.21,25249.98606,8.470030125,61.5,88.74
10,Austria,12.4,26692.984109999998,13.09437,57.09999847,67.16
11,Azerbaijan,13.34,2344.896916,1.380964637,60.90000153,51.92
12,Bahamas,8.65,19630.54055,3.374415874,66.59999847,83.7
13,Bahrain,4.19,12505.21254,4.414990425,60.40000153,88.52
14,Bangladesh,0.17,558.0628766,14.53835678,68.09999847,27.14
15,Barbados,6.42,9243.587053,3.1086025239999997,66.90000153,39.84
16,Belarus,18.85,2737.6703789999997,26.874690299999997,53.40000153,73.46
17,Belgium,10.41,24496.04826,15.95385,48.59999847,97.36
18,Belize,5.92,3545.6521740000003,9.388795853,56.79999924,51.7
19,Benin,2.08,377.0396995,6.057739735,71.59999847,41.2
21,Bhutan,0.54,1324.194906,15.54260254,58.40000153,34.48
22,Bolivia,5.78,1232.7941369999999,2.034178495,70.40000153,65.58
23,Bosnia and Herzegovina,9.6,2183.3448670000002,11.8367157,41.20000076,47.44
24,Botswana,6.97,4189.436587,11.21397018,46.0,59.58
25,Brazil,10.08,4699.411262,4.777007,64.5,85.58
26,Brunei,1.86,17092.46,1.3700015540000001,63.79999924,74.82
27,Bulgaria,11.4,2549.558474,9.216544,47.29999924,71.1
28,Burkina Faso,7.32,276.20041299999997,8.204221725,81.30000305,19.56
29,Burundi,9.65,115.3059959,14.68093586,83.19999695,10.4
30,Cambodia,4.71,557.9475126,4.961071491,78.90000153,21.56
31,Cameroon,7.9,713.6393027,7.214220524,59.09999847,56.76
32,Canada,10.2,25575.352619999998,10.10099,63.5,80.4
33,Cape Verde,4.98,1959.8444719999998,5.633333682999999,55.90000153,59.62
35,Central African Rep.,3.17,239.5187494,13.54841995,71.30000305,38.58
36,Chad,4.39,275.88428650000003,8.283070563999999,68.90000153,26.68
37,Chile,8.81,6334.105194,10.17187,51.0,88.44
38,China,5.56,2425.471293,16.91324806,72.80000305,43.1
39,Colombia,6.59,3233.42378,4.907702,63.20000076,74.5
40,Comoros,0.28,336.36874950000004,4.751083851000001,68.0,28.08
41,"Congo, Dem. Rep.",3.39,103.7758572,14.71302032,66.19999695,33.96
42,"Congo, Rep.",4.46,1253.292015,9.873761177,64.19999695,61.34
43,Cook Islands,3.23,,4.373364925,,
44,Costa Rica,5.81,5188.900935000001,6.597167999999999,58.59999847,63.26
45,Cote d'Ivoire,6.47,591.0679443,20.31793022,59.90000153,48.78
46,Croatia,15.0,6338.494668,14.77625,47.09999847,57.28
47,Cuba,5.12,4495.046262,10.57191,56.0,75.66
48,Cyprus,8.84,15313.85935,2.206169,59.09999847,69.9
49,Czech Rep.,16.47,7381.312751,12.367980000000001,56.0,73.5
50,Denmark,12.02,30532.277039999997,8.973104,63.09999847,86.68
51,Djibouti,1.87,895.3183396,4.993475913999999,,87.3
52,Dominica,8.68,6147.7796100000005,5.835250854,,73.92
53,Dominican Rep.,6.28,4049.169629,6.519536972,52.70000076,69.02
54,Ecuador,9.43,1728.0209760000002,8.504684447999999,59.70000076,65.58
55,Egypt,0.32,1975.551906,1.7999036309999998,42.40000153,42.72
56,El Salvador,3.99,2557.433638,7.304886,58.20000076,60.7
57,Equatorial Guinea,6.12,8654.536845,10.12934971,61.70000076,39.38
58,Eritrea,1.64,131.796207,8.913362503,64.90000153,20.72
59,Estonia,17.24,6238.537506000001,16.959239999999998,56.5,69.46
60,Ethiopia,4.1,220.89124790000002,10.07194233,80.69999695,17.0
62,Fiji,2.76,2230.6763739999997,3.94025898,56.40000153,52.36
